Org ID|Org Name|Station ID|WBID|Act Date|Act Time|Act Type|Act Category|Act Depth|Depth Units|Relative Depth|Characteristic|Result Value|Result Units|VQ|Analysis Date|Analysis Time|Procedure Name|Comment|Sample Fraction|MDL|MDL Units|PQL|Medium|Matrix
21FLWPB|FL Dept. of Environmental Protection, Southeast District|28040381|3283|06/13/2017|12:55:00 PM|Sample|Routine Sample|0.3|m||Phosphorus as P|0.016|mg/l||06/16/2017|12:50:00 PM|365.1||Total|0.0020|mg/l|0.0050|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|28040381|3283|06/13/2017|12:55:00 PM|Sample|Routine Sample|0.3|m||Nitrogen, ammonia as N|0.62|mg/l||06/15/2017|04:01:00 PM|350.1||Total|0.020|mg/l|0.050|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|28040381|3283|06/13/2017|12:55:00 PM|Sample|Routine Sample|0.3|m||Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N|0.11|mg/l||06/16/2017|09:30:00 AM|353.2||Total|0.0040|mg/l|0.010|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|28040381|3283|06/13/2017|12:55:00 PM|Sample|Routine Sample|0.3|m||Phosphorus, orthophosphate as P|*Non-detect||U|06/14/2017|02:10:00 PM|365.1|**U**|Dissolved|0.0040|mg/l|0.010|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|28040381|3283|03/29/2017|01:15:00 PM|Sample|Routine Sample|0.3|m||Phosphorus, orthophosphate as P|*Non-detect||U|03/30/2017|04:13:00 PM|365.1|**U**|Dissolved|0.0040|mg/l|0.010|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|28040381|3283|03/29/2017|01:15:00 PM|Sample|Routine Sample|0.3|m||Nitrogen, ammonia as N|0.15|mg/l||03/30/2017|12:25:00 PM|350.1||Total|0.0020|mg/l|0.0050|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|28040381|3283|03/29/2017|01:15:00 PM|Sample|Routine Sample|0.3|m||Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N|0.022|mg/l||03/31/2017|10:50:00 AM|353.2||Total|0.0040|mg/l|0.010|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|28040381|3283|03/29/2017|01:15:00 PM|Sample|Routine Sample|0.3|m||Phosphorus as P|0.006|mg/l||04/04/2017|12:11:00 PM|365.1||Total|0.0020|mg/l|0.0050|Water|Surface Water
21FLGW|FL Dept. of Environmental Protection|50408|3283|03/01/2017|10:45:00 AM|Sample|Routine Sample||||Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N|.043|mg/l||03/07/2017|10:43:00 AM|353.2||Total|0.004|mg/l|0.01|Water|Surface Water
21FLGW|FL Dept. of Environmental Protection|50408|3283|03/01/2017|10:45:00 AM|Sample|Routine Sample||||Phosphorus as P|.007|mg/l|G|03/09/2017|12:08:00 PM|365.1|ANALYTE DETECTED IN A FIELD GENERATED BLANK|Total|0.002|mg/l|0.005|Water|Surface Water
21FLGW|FL Dept. of Environmental Protection|50408|3283|03/01/2017|10:45:00 AM|Sample|Routine Sample||||Nitrogen, ammonia as N|.009|mg/l||03/08/2017|12:27:00 PM|350.1||Total|0.002|mg/l|0.005|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|G4SE0075|3283|06/08/2016|10:40:00 AM|Sample|Routine Sample|0.3|m||Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N|0.032|mg/l||06/13/2016|11:38:00 AM|353.2||Total|0.0040|mg/l|0.010|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|G4SE0075|3283|06/08/2016|10:40:00 AM|Sample|Routine Sample|0.3|m||Nitrogen, ammonia as N|0.61|mg/l||06/15/2016|02:26:00 PM|350.1||Total|0.010|mg/l|0.025|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|G4SE0075|3283|06/08/2016|10:40:00 AM|Sample|Routine Sample|0.3|m||Phosphorus as P|0.008|mg/l||06/16/2016|02:58:00 PM|365.1||Total|0.0020|mg/l|0.0050|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|G4SE0075|3283|06/08/2016|10:40:00 AM|Sample|Routine Sample|0.3|m||Phosphorus, orthophosphate as P|*Non-detect||U|06/09/2016|03:22:00 PM|365.1|**U**|Dissolved|0.0040|mg/l|0.010|Water|Surface Water
21FLWPB|FL Dept. of Environmental Protection, Southeast District|G4SE0075|3283|04/14/2016|03:10:00 PM|Sample|Routine Sample|0.3|m||Phosphorus, orthophosphate as P|*Non-detect||U|04/15/2016|01:19:00 PM|365.1|**U**|Dissolved|0.0040|mg/l|0.010|Water|Surface Water
