"Time Series Data"
"DBKEY","STATION","TYPE","UNITS","FQ","STAT","STRATA","OPNUM","RCDR","AGENCY","START","END","CNTY","LAT","LONG","SEC","TWP","RNG","ALTERNATE ID"
"91472","S29_S","FLOW","cfs","DA","MEAN","0","","DRV","WMD","1985","2025","DAD","255544","800905","16","52","42","S29-S-Q",
 
"Station","DBKEY","Daily Date","Data Value","Qualifier","Revision Date"
"S29_S","91472","31-MAY-1985","","M","09-OCT-2019"
"S29_S","91472","01-JUN-1985","","M","09-OCT-2019"
"S29_S","91472","02-JUN-1985","16.78","","15-OCT-2019"
"S29_S","91472","03-JUN-1985","","M","14-JUN-2017"
"S29_S","91472","04-JUN-1985","17.32","E","15-OCT-2019"
"S29_S","91472","05-JUN-1985","10.32","","15-OCT-2019"
"S29_S","91472","06-JUN-1985","9.62","E","15-OCT-2019"
"S29_S","91472","07-JUN-1985","9.22","","15-OCT-2019"
"S29_S","91472","08-JUN-1985","9.34","","15-OCT-2019"
"S29_S","91472","09-JUN-1985","9.97","","15-OCT-2019"
"S29_S","91472","10-JUN-1985","12.94","","15-OCT-2019"
"S29_S","91472","11-JUN-1985","20.76","","15-OCT-2019"
"S29_S","91472","12-JUN-1985","260.65","","15-OCT-2019"
"S29_S","91472","13-JUN-1985","288.20","","15-OCT-2019"
"S29_S","91472","14-JUN-1985","164.42","","15-OCT-2019"
"S29_S","91472","15-JUN-1985","468.53","","15-OCT-2019"
"S29_S","91472","16-JUN-1985","25.12","","15-OCT-2019"
"S29_S","91472","17-JUN-1985","24.14","","15-OCT-2019"
"S29_S","91472","18-JUN-1985","25.51","","15-OCT-2019"
"S29_S","91472","19-JUN-1985","21.29","","15-OCT-2019"
"S29_S","91472","20-JUN-1985","20.37","E","15-OCT-2019"
"S29_S","91472","21-JUN-1985","20.40","","15-OCT-2019"
"S29_S","91472","22-JUN-1985","18.68","E","15-OCT-2019"
"S29_S","91472","23-JUN-1985","","M","14-JUN-2017"
"S29_S","91472","24-JUN-1985","15.39","","15-OCT-2019"
"S29_S","91472","25-JUN-1985","448.98","","15-OCT-2019"
"S29_S","91472","26-JUN-1985","334.10","","15-OCT-2019"
"S29_S","91472","27-JUN-1985","","M","14-JUN-2017"
"S29_S","91472","28-JUN-1985","","M","14-JUN-2017"
"S29_S","91472","29-JUN-1985","18.46","","15-OCT-2019"
"S29_S","91472","30-JUN-1985","","M","14-JUN-2017"
"S29_S","91472","01-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","02-JUL-1985","364.37","","15-OCT-2019"
"S29_S","91472","03-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","04-JUL-1985","382.28","","15-OCT-2019"
"S29_S","91472","05-JUL-1985","20.85","","15-OCT-2019"
"S29_S","91472","06-JUL-1985","648.73","","15-OCT-2019"
"S29_S","91472","07-JUL-1985","23.47","","15-OCT-2019"
"S29_S","91472","08-JUL-1985","23.52","","15-OCT-2019"
"S29_S","91472","09-JUL-1985","231.29","","15-OCT-2019"
"S29_S","91472","10-JUL-1985","145.19","","15-OCT-2019"
"S29_S","91472","11-JUL-1985","149.74","","15-OCT-2019"
"S29_S","91472","12-JUL-1985","141.79","E","15-OCT-2019"
"S29_S","91472","13-JUL-1985","203.44","","15-OCT-2019"
"S29_S","91472","14-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","15-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","16-JUL-1985","382.86","","15-OCT-2019"
"S29_S","91472","17-JUL-1985","955.66","","15-OCT-2019"
"S29_S","91472","18-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","19-JUL-1985","879.65","","15-OCT-2019"
"S29_S","91472","20-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","21-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","22-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","23-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","24-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","25-JUL-1985","1432.66","","15-OCT-2019"
"S29_S","91472","26-JUL-1985","1278.61","","15-OCT-2019"
"S29_S","91472","27-JUL-1985","1192.09","","15-OCT-2019"
"S29_S","91472","28-JUL-1985","1076.43","","15-OCT-2019"
"S29_S","91472","29-JUL-1985","953.24","","15-OCT-2019"
"S29_S","91472","30-JUL-1985","905.25","E","15-OCT-2019"
"S29_S","91472","31-JUL-1985","","M","14-JUN-2017"
"S29_S","91472","01-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","02-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","03-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","04-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","05-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","06-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","07-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","08-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","09-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","10-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","11-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","12-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","13-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","14-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","15-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","16-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","17-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","18-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","19-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","20-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","21-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","22-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","23-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","24-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","25-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","26-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","27-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","28-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","29-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","30-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","31-AUG-1985","","M","14-JUN-2017"
"S29_S","91472","01-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","02-SEP-1985","182.69","","15-OCT-2019"
"S29_S","91472","03-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","04-SEP-1985","384.16","","15-OCT-2019"
"S29_S","91472","05-SEP-1985","483.97","","15-OCT-2019"
"S29_S","91472","06-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","07-SEP-1985","320.19","","15-OCT-2019"
"S29_S","91472","08-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","09-SEP-1985","248.48","","15-OCT-2019"
"S29_S","91472","10-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","11-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","12-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","13-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","14-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","15-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","16-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","17-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","18-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","19-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","20-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","21-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","22-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","23-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","24-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","25-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","26-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","27-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","28-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","29-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","30-SEP-1985","","M","14-JUN-2017"
"S29_S","91472","01-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","02-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","03-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","04-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","05-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","06-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","07-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","08-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","09-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","10-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","11-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","12-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","13-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","14-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","15-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","16-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","17-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","18-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","19-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","20-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","21-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","22-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","23-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","24-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","25-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","26-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","27-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","28-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","29-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","30-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","31-OCT-1985","","M","14-JUN-2017"
"S29_S","91472","01-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","02-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","03-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","04-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","05-NOV-1985","301.70","","15-OCT-2019"
"S29_S","91472","06-NOV-1985","82.95","","15-OCT-2019"
"S29_S","91472","07-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","08-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","09-NOV-1985","12.42","","15-OCT-2019"
"S29_S","91472","10-NOV-1985","94.82","","15-OCT-2019"
"S29_S","91472","11-NOV-1985","245.16","","15-OCT-2019"
"S29_S","91472","12-NOV-1985","232.63","","15-OCT-2019"
"S29_S","91472","13-NOV-1985","332.78","","15-OCT-2019"
"S29_S","91472","14-NOV-1985","304.13","","15-OCT-2019"
"S29_S","91472","15-NOV-1985","324.09","","15-OCT-2019"
"S29_S","91472","16-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","17-NOV-1985","226.02","","15-OCT-2019"
"S29_S","91472","18-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","19-NOV-1985","128.94","","15-OCT-2019"
"S29_S","91472","20-NOV-1985","8.35","","15-OCT-2019"
"S29_S","91472","21-NOV-1985","92.14","","15-OCT-2019"
"S29_S","91472","22-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","23-NOV-1985","316.30","","15-OCT-2019"
"S29_S","91472","24-NOV-1985","138.46","","15-OCT-2019"
"S29_S","91472","25-NOV-1985","100.29","","15-OCT-2019"
"S29_S","91472","26-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","27-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","28-NOV-1985","20.68","","15-OCT-2019"
"S29_S","91472","29-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","30-NOV-1985","","M","14-JUN-2017"
"S29_S","91472","01-DEC-1985","64.16","E","15-OCT-2019"
"S29_S","91472","02-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","03-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","04-DEC-1985","332.48","","15-OCT-2019"
"S29_S","91472","05-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","06-DEC-1985","675.71","","15-OCT-2019"
"S29_S","91472","07-DEC-1985","538.05","","15-OCT-2019"
"S29_S","91472","08-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","09-DEC-1985","332.07","E","15-OCT-2019"
"S29_S","91472","10-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","11-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","12-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","13-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","14-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","15-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","16-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","17-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","18-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","19-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","20-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","21-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","22-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","23-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","24-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","25-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","26-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","27-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","28-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","29-DEC-1985","72.33","","15-OCT-2019"
"S29_S","91472","30-DEC-1985","387.28","","15-OCT-2019"
"S29_S","91472","31-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","01-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","02-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","03-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","04-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","05-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","06-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","07-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","08-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","09-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","10-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","11-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","12-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","13-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","14-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","15-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","16-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","17-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","18-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","19-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","20-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","21-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","22-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","23-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","24-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","25-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","26-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","27-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","28-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","29-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","30-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","31-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","01-FEB-1986","","M","14-JUN-2017"
