"Time Series Data"
"DBKEY","STATION","TYPE","UNITS","FQ","STAT","STRATA","OPNUM","RCDR","AGENCY","START","END","CNTY","LAT","LONG","SEC","TWP","RNG","ALTERNATE ID"
"91475","S30_C","FLOW","cfs","DA","MEAN","0","","DRV","WMD","1968","2025","BRO","255724","802552","3","52","39","S30-C-Q",
 
"Station","DBKEY","Daily Date","Data Value","Qualifier","Revision Date"
"S30_C","91475","03-JUN-1968","","M","09-FEB-2018"
"S30_C","91475","04-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","05-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","06-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","07-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","08-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","09-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","10-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","11-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","12-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","13-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","14-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","15-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","16-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","17-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","18-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","19-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","20-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","21-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","22-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","23-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","24-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","25-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","26-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","27-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","28-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","29-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","30-JUN-1968","0","","09-FEB-2018"
"S30_C","91475","01-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","02-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","03-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","04-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","05-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","06-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","07-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","08-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","09-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","10-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","11-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","12-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","13-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","14-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","15-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","16-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","17-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","18-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","19-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","20-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","21-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","22-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","23-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","24-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","25-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","26-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","27-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","28-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","29-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","30-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","31-JUL-1968","0","","09-FEB-2018"
"S30_C","91475","01-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","02-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","03-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","04-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","05-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","06-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","07-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","08-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","09-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","10-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","11-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","12-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","13-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","14-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","15-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","16-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","17-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","18-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","19-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","20-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","21-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","22-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","23-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","24-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","25-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","26-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","27-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","28-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","29-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","30-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","31-AUG-1968","0","","09-FEB-2018"
"S30_C","91475","01-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","02-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","03-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","04-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","05-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","06-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","07-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","08-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","09-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","10-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","11-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","12-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","13-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","14-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","15-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","16-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","17-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","18-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","19-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","20-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","21-SEP-1968","0","","09-FEB-2018"
"S30_C","91475","22-SEP-1968","0","","09-FEB-2018"
