"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Collection Agency","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Filtration Date","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"BISC","SK02","DERM99981","","11-JUL-1988 14:40","SAMP","G","1.00","","SW","12","TURBIDITY","","","","1.9","1.9","","","","","NTU","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","1","",""
"BISC","SK02","DERM99983","","11-JUL-1988 14:40","SAMP","G","8.00","","SW","10","PH, FIELD","","","","7.4","7.40","","","","","None","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","2","",""
"BISC","SK02","DERM99981","","11-JUL-1988 14:40","SAMP","G","1.00","","SW","18","NITRATE+NITRITE-N","","","",".1","0.100","","","","","mg/L","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","3","",""
"BISC","SK02","DERM99981","","11-JUL-1988 14:40","SAMP","G","1.00","","SW","20","AMMONIA-N","","","",".25","0.25","","","","","mg/L","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","2","",""
"BISC","SK02","DERM99981","","11-JUL-1988 14:40","SAMP","G","1.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".04","0.040","","","","","mg/L","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","3","",""
"BISC","SK02","DERM99981","","11-JUL-1988 14:40","SAMP","G","1.00","","SW","104","COPPER, TOTAL","","","","1.2","1.200","","","","","ug/L","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","3","",""
"BISC","SK02","DERM99981","","11-JUL-1988 14:40","SAMP","G","1.00","","SW","105","ZINC, TOTAL","","","","2.2","2.200","","","","","ug/L","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","3","",""
"BISC","SK02","DERM99980","","11-JUL-1988 14:40","SAMP","G","0.10","","SW","7","Temperature","","","","29.5","29.5","","","","","Deg C","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","1","",""
"BISC","SK02","DERM99981","","11-JUL-1988 14:40","SAMP","G","1.00","","SW","7","Temperature","","","","29.5","29.5","","","","","Deg C","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","1","",""
"BISC","SK02","DERM99983","","11-JUL-1988 14:40","SAMP","G","8.00","","SW","7","Temperature","","","","28.9","28.9","","","","","Deg C","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","1","",""
