"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Collection Agency","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Filtration Date","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"BISC","SK09","DERM100566","","08-JUL-1991 12:00","SAMP","G","0.00","","SW","133","TOTAL COLIFORM, MPN","","","","500","500.0","","","","","MPN/100 ","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","1","",""
"BISC","SK09","DERM100566","","08-JUL-1991 12:00","SAMP","G","0.00","","SW","135","FECAL COLIFORM, MPN","","","","230","230.0","","","","","MPN/100 ","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","1","",""
"BISC","SK09","DERM100570","","08-JUL-1991 12:20","SAMP","G","8.00","","SW","8","DISSOLVED OXYGEN","","","",".8","0.80","","","","","mg/L","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","2","",""
"BISC","SK09","DERM100567","","08-JUL-1991 12:20","SAMP","G","0.10","","SW","7","Temperature","","","","27.3","27.3","","","","","Deg C","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","1","",""
"BISC","SK09","DERM100568","","08-JUL-1991 12:20","SAMP","G","1.00","","SW","7","Temperature","","","","25","25.0","","","","","Deg C","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","1","",""
"BISC","SK09","DERM100570","","08-JUL-1991 12:20","SAMP","G","8.00","","SW","7","Temperature","","","","24.8","24.8","","","","","Deg C","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","1","",""
"BISC","SK09","DERM100568","","08-JUL-1991 12:20","SAMP","G","1.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".01","0.010","","","","","mg/L","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","3","",""
"BISC","SK09","DERM100568","","08-JUL-1991 12:20","SAMP","G","1.00","","SW","20","AMMONIA-N","","","",".24","0.24","","","","","mg/L","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","2","",""
"BISC","SK09","DERM100568","","08-JUL-1991 12:20","SAMP","G","1.00","","SW","18","NITRATE+NITRITE-N","","","",".08","0.080","","","","","mg/L","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","3","",""
"BISC","SK09","DERM100567","","08-JUL-1991 12:20","SAMP","G","0.10","","SW","10","PH, FIELD","","","","7.2","7.20","","","","","None","","","","","","DERM","DERM","","","","","","","","","","0","","0","0","0","MON","2","",""
